artist,genre
Sleeping Clouds,
Yann Tiersen,bow pop
Siouxsie and the Banshees,alternative rock
Deftones,alternative metal
Sussie 4,electro latino
Paramore,candy pop
Majestic Sleep,background music
Kharl Rosenbloom,
Zanoii,
The Cure,new wave
The Clash,classic rock
Fabulas Aticas,rock chapin
Clam Pass,rain
HELLYEAH,alternative metal
Lluvia del Bosque,musica de fondo
U2,irish rock
Many Moons Ago,acoustic chill
Keane,neo mellow
HEALTH,grave wave
Les Bois Noirs,
Papa Roach,alternative metal
Two Feet,indie poptimism
Moby,downtempo
The Specials,punk
Los Planetas,granada indie
Jane's Addiction,alternative metal
Dope,alternative metal
Juliette & The Licks,power-pop punk
Goldfrapp,alternative dance
Toad The Wet Sprocket,alternative rock
August John Enrique,background music
Ostrava Recordings,rain
Nordesía,
Muse,modern rock
Wellness N Wellness,
Dreamabout,
Surfistas Del Sistema,latin rock
Hakone,
Cultura Profética,latin alternative
El Chojin,rap conciencia
Blue Motyl,
Bloc Party,alternative dance
Rival Sons,alternative roots rock
Kany García,latin
Crystal Voices,healing
Will Smith,hip hop
Spacewaves,sleep
Vilma Palma e Vampiros,argentine rock
Crazy Town,alternative metal
Major Lazer,dance pop
Stone Temple Pilots,alternative metal
Sandoval,latin
Starship,album rock
Robomani,
Shaun Bertsch,
Melvins,alternative metal
Sebastian Kamae,chillhop
The Mist,rain
Sanja Göransson,sleep
Chusi Vega,
Rain Makers,water
Star River,
Mandala Ohm,
Oingo Boingo,dance rock
Rodrigo,pop
Cafe Music BGM channel,
Divididos,argentine rock
Seether,alternative metal
Joel Corry,dance pop
Catupecu Machu,argentine punk
Yonder Dale,background music
The Knack,album rock
Twisted Sister,album rock
Denise Santoz,background piano
Cedar Woods,
Melissa Auf der Maur,rock quebecois
IZAAX,
RHODES,
Ferndale,sleep
Ella Ravn,
Theatre Of Tragedy,gothic metal
Nine Inch Nails,alternative metal
Rain Palace,rain
Kings of Leon,modern rock
Jerusalem in My Heart,arab experimental
Dido,new wave pop
Foghat,album rock
Slipknot,alternative metal
Tellus Recordings,rain
Portugal. The Man,indie rock
YoSoyMatt,nuevo folklore mexicano
Audiomachine,epicore
Coldplay,permanent wave
Hanson,boy band
Johann Eder,background music
Infinite Nite,background music
Yasumu,
Alejandra Guzman,latin
Minnie Delarosa,
Perducci,
Mikel Erentxun,cantautor
Noise and Nature,
Daniel Pearson,
DARKSIDE,downtempo
Camila Moreno,chilean indie
Zero Degrees Celsius,background music
Alma Grøtte,
Eyla Calmes,sleep
Last Memories,
Lauren Whyatt,
Travis Scott,rap
S.A. Karl,background piano
The Chamanas,chihuahua indie
Jupiter Grains,atmosphere
Roxette,europop
Mari Cafferty,
Brandon Flowers,modern rock
Medi Rela,rain
Don Cornelio Y La Zona,argentine indie
Pierre Delongpre,background music
Dream Runner,background music
Warrant,album rock
One Stop,sleep
León Larregui,latin alternative
Mvnday,
The Marías,bedroom pop
A.N.I.M.A.L.,argentine heavy metal
Wonderful Escape,sleep
Dreamsound,rain
Miami Sound Machine,new wave pop
Fobia,latin alternative
Simple Minds,art rock
Mimi Maura,argentine reggae
La Barranca,latin alternative
The Hives,alternative rock
Ani,funk carioca
Destiny's Child,dance pop
Movimiento Original,chilean rock
UnSun,gothic metal
Curiosidades de la Historia National Geographic,
Miley Cyrus,dance pop
Tijuana No!,blues mexicano
Class of '99,supergroup
El Personal,latin alternative
Lena Bickeby,
Gandhi,musica costarricense
Audioslave,alternative metal
Tranzas,ecuadorian pop
Lama Dorje,tibetan mantra
Eminem,detroit hip hop
Foo Fighters,alternative metal
Suzi Quatro,classic uk pop
Briela Ojeda,colombian indie
Ely Guerra,latin alternative
Placebo,alternative rock
The Police,album rock
Mano Negra,french rock
Yuridia,latin
Ascension,tone
Adam Storme,rain
John Frusciante,acoustic rock
Alan Silvestri,orchestral soundtrack
Matt Bianco,new romantic
Niccolò Pagliani,
The Golden Islands,background music
Broken Bells,alternative dance
Finnolia Sound Effects,sound effects
Recorder Rain,rain
Razorlight,britpop
Rancid,punk
James,pop
Comet 1993,
Arden Forest,background music
Jethro Heston,deep groove house
Ha*Ash,latin
El Shavindar,
Dominique Marais,background piano
Primus,alternative metal
Majestic,house
Sebastián Escofet,argentine ambient
The Breeders,alternative pop
Nacho Vegas,cantautor
Bibula,rain
NOOMA,
Ludwig van Beethoven,classical
Natural Sound Makers,rain
Euloria,sleep
CoryaYo,chillhop
Second,boy band
Island Drizzle,rain
No Doubt,alternative rock
Vera Fauna,sevilla indie
Joel Moin,sleep
Marco Nobel,
Le Butcherettes,garage rock mexicano
Clyde Boudreaux,background music
Jeanelle Bolduc,background music
Sleepy Clouds,sleep
Barón Rojo,latin metal
Limp Bizkit,alternative metal
Piso 21,colombian pop
The xx,downtempo
Scintillante,sleep
Mike Kelly,
Viejas Locas,argentine rock
ZAYN,dance pop
Deva Premal,kirtan
Fannie Shelton,
Los Enanitos Verdes,argentine rock
Megan Wofford,
Ministry,alternative metal
L7,alternative rock
Maroon 5,pop
Invertivo,
ATB,german dance
The Black Keys,alternative rock
Nadia Bulic,sleep
Imvula,
Yolta,background music
La Castañeda,latin alternative
Zoé de Vera,
Green Valley,reggae catala
Bon Vie,background music
Cosmic Nuit,
The Weeknd,canadian contemporary r&b
Adanowsky,latin alternative
Elena Aedile,
Natures Orchestra,rain
Thomas Bergersen,epicore
Def Con Dos,rap metal espanol
Rockwell,
Interstellar Journey,
lumen,rain
Wissal Sakti,
Alan Walker,electro house
The Earth & I,
Habermann,
Waht Poo,atmosphere
Nils Klein,
Danza Invisible,spanish new wave
Cyndi Lauper,disco
Horsey,
Pescado Rabioso,argentine indie
Lacrimosa,gothic metal
Saratoga,latin metal
Van Halen,album rock
Yi Nantiro,instrumental lullaby
Grupo Niche,latin
Joaquín Sabina,cantautor
Franz Gordon,background music
2 minutos,argentine punk
Monjes Tibetanos,musica de fondo
Løkss,sleep
Joaquín Cardiel,
Mind Explorer,
Juliette Lewis,
Relax 4 Relax,432hz
Mamita Peyote,argentine reggae
Arranquemos del Invierno,chilean indie
Cine y Alcohol ,
Onda Vaselina,latin
Poemme,
Shocking Blue,classic rock
Calo,guadalajara indie
Luisa Almaguer,indie triste
Los Auténticos Decadentes,argentine rock
Romeo Santos,bachata
El Otro Yo,argentine indie
Aurora Blue,
The Vines,alternative rock
Koby Laver,background music
Los Vikingos Del Norte,chihuahua indie
Alm Bark,asmr
The Wallflowers,alternative rock
O.A.S.,
Filosofía Aplicada (a la vida),
Tooth & Nail,
Beyond The Last Star,
Dream Theater,neo classical metal
Meditative Mind,kundalini
Gepe,chilean indie
Virus,argentine rock
Genitallica,latin alternative
Faith No More,alternative metal
Ofenbach,dance pop
Acacia,
Neurotic Outsiders,supergroup
Tranquil Spirits,
Alaskan Tapes,compositional ambient
Benny The Asteroid,
Carla Morrison,mexican pop
El Tri,latin alternative
Creedence Clearwater Revival,album rock
REYN,classic venezuelan pop
Ambature,
Celso Piña,chicha
Markus Steinberg,
The Cardigans,dance pop
Xumantra,healing
Volbeat,alternative metal
Fleetwood Mac,album rock
HD Rain and Water,rain
Moomu,sleep
Bon Jovi,glam metal
Portishead,dark pop
Boleen FX,rain
Nortec Collective,latin alternative
Hilma,
Astron,background music
Mike Molloy,
Bruce Springsteen,classic rock
Descendents,melodic hardcore
Tom Ashbrook,compositional ambient
Denise Rosenthal,pop chileno
Wolfgang Snow,sleep
Loverboy,album rock
Son&Dad,acoustic cover
Attaque 77,argentine punk
Pontus De Bjorn,
Filterscape,
Raie,
Black Eyed Peas,dance pop
Steven Halpern,healing
Mœnia,latin
Atmospheric Force,rain
Skunk Anansie,british alternative rock
Équipage ambiant,rain
Hoobastank,alternative metal
Birdy,pop
It Will Make Me Whole,rain
Lukkii and The Whale,
Jumbo,latin alternative
Alannah Myles,classic canadian rock
Courtney Barnett,art pop
Yùhé 愈合,sound
Spirit Minds,background music
Thunderstorm Sleep,environmental
Nuwan,
Jordane Tumarinson,
Relaxcation,rain
Universo,sleep
Precip,rain
Juliana Gattas,
Los Rabanes,latin alternative
Vincent Fanguro,
Tony Scott,jazz clarinet
Fallin Moon,
Dave Gahan,alternative dance
Imber Levis,rain
Skyyy,rain
Donna Summer,dance pop
Study Alpha Waves,brain waves
Robert Miles,dream trance
Mother Earth Sounds,sound
Jaime Jacobs,
Lila Downs,latin alternative
Christine Papst,background music
Jon Hopkins,ambient
Evolución,musica costarricense
Phil Collins,mellow gold
DGHTR,study beats
Molotov,latin alternative
Liquid Planet Recordings,rain
Mudvayne,alternative metal
The Stormwater,rain
Armonikos,
Sospechosamente Light,
Imbrem,rain
Nature Sound Series,environmental
Anton Fargau Petrini,
The Goo Goo Dolls,alternative rock
Dardan Leistra,
Pascal Peaceful,
Million Drops,rain
Opal Fangs,
Demi Waters,background piano
Jan Sandgreen,background music
Unwritten Skies,sleep
Billie Eilish,art pop
No Te Va Gustar,latin alternative
Kase.O,spanish hip hop
Estado De Calma,background music
Draco Rosa,latin alternative
Carpo Di Nemo,
Castor & Pollux,
E and K,
Rauw Alejandro,puerto rican pop
Florence Adame,sleep
Arcade Fire,alternative dance
Diego Lorenzini,chilean indie
Genevieve Harding,
Marco Schultz,kirtan
Mjuk,sleep
Devendra Banhart,freak folk
Bomba Estéreo,cumbia
Hideo Osaka,japanese traditional
Jennifer Dileo,
Dave Matthews Band,jam band
Heddwch,
Lush Waves Creators,rain
La Hora Perturbadora,
Leny Bhoelai,background music
Juan Cirerol,baja indie
Elise Ryen,sleep
Sycorax X,
Los Toreros Muertos,latin alternative
Sohn Aelia,sleep
Cola Jet Set,spanish indie pop
ame,dominican pop
Pacific Rain,rain
Zoé,latin alternative
Nawang Khechog,healing
Whitesnake,album rock
Daddy Yankee,latin
Taylor Swift,pop
Aiolos Rue,chill beats
Delta Shores,
Bad Religion,punk
Greta Van Fleet,modern blues rock
Ragazzi,latin pop
Aqualogic,rain
Varsha Macias,
Paradise Lost,death metal
Aquamoon,rain
The Gods and I,
Lykke Li,art pop
The Music,britpop
La Unión,cantautor
El Mató a un Policía Motorizado,argentine alternative rock
TELEBIT,colombian rock
Tropa 56,punk tico
JJ72,irish indie rock
Crystal Fragments,background music
No Spirit,
Love and Rockets,dream pop
Monsieur Periné,colombian pop
Wilson Mabo,
Agnes Sayjno,
Leonid Antonov,
Los Pao Paos,
Gianni Goggia,sleep
Nature Vibrations,rain
Niklas Blumenthaler,
Emotional Pleasure,sleep
Morrissey,britpop
Luis Eduardo Aute,cantautor
La Gusana Ciega,latin alternative
Anima,djent
Residente,venezuelan hip hop
Joy Division,alternative rock
snowfx,
Descartes A Kant,mexican indie
The Joe Rogan Experience,
The Wild Project,
Monster Magnet,alternative metal
The Exies,alternative metal
Dayglow,austindie
Helike,
AFI,emo
Pahua,tropical alternativo
Chelsea Wolfe,dark pop
Tenno,japanese chillhop
Hootie & The Blowfish,mellow gold
Sumo,argentine reggae
Ev,pop venezolano
Silent Clouds,
Margaretha van Baarle,
Angelfish,
Lhokanda,background music
Ladyhawke,alternative dance
Los Elasticos,latin surf rock
Danzig,alternative metal
La Parrockia,
Amba Naturale,
Epic Nature,rain
.Sinh,
Serú Girán,argentine rock
The All-American Rejects,modern rock
Waves of Life,
Magnetic Dreams,
Erasure,europop
Fritz Kalkbrenner,german house
Juan Magán,dance pop
Flip Espeler,background piano
Oasis,beatlesque
Paula Abdul,dance pop
Disidente,latin alternative
Vas Bela,background music
Florence + The Machine,art pop
FISHER,australian house
Pablo Alborán,latin
Shakira,colombian pop
Charlie Roscoe,
